.rownames,HOSPITAL.COST
249,297742.847868986
250,287824.82241293
251,293910.710076338
252,329892.410372572
253,304944.470946065
254,289395.549610482
255,305592.631257353
256,287138.488242681
257,317608.190176843
258,322589.097193104
259,307453.935650365
260,291008.910426325
261,313873.668185559
262,296302.756265057
263,290218.129314159
264,310511.910611508
265,304245.768868565
266,283441.67780363
267,305170.121820842
268,295353.532028132
269,285770.472472473
270,310985.400226402
271,308839.496838166
272,293941.619315832
273,285135.905282814
274,294609.478237056
275,273548.458445023
276,305583.794137089
277,299348.374201114
278,289512.859053394
279,281088.205732857
280,289340.190822
281,292852.028499533
282,227507.877967573
283,286380.207878862
284,224991.834323098
285,304737.741165307
286,282730.227893965
287,301338.978046137
288,279351.907485095
289,295535.58675133
290,295523.114952138
291,279517.428362795
292,285517.243598599
293,223539.903908172
294,264846.032581
295,296915.582394161
296,286025.732146678
297,270850.798113727
298,214317.709228913
299,295089.024435304
300,269724.224155143
301,269293.374975885
302,277471.971838675
303,271155.006880234
304,266873.624042866
305,256362.241697211
306,209875.008982788
307,238095.318485142
308,227597.906468442
309,255689.966064957
310,221396.150989136
311,224148.11779069
312,237970.627033476
313,227252.651217495
314,214258.896830367
315,267245.266323943
316,253127.220800388
317,210078.002514987
318,222699.815867197
319,224276.458522982
320,210079.890739769
321,247270.561165189
322,212986.088178384
323,215619.509734695
324,207243.211351738
325,260184.761827885
326,203904.5257826
327,216294.814405417
328,217877.325279963
329,203838.287176789
330,248825.149880985
331,250721.57421914
332,234982.787977041
333,206763.081922606
334,239647.271764889
335,189456.506925074
336,232401.578584176
337,216396.217992862
338,190681.336248421
339,193273.211348037
340,193674.029596954
341,185489.871603583
342,225865.953079704
343,193016.678684601
344,241279.447854028
345,238364.547651482
346,184200.418191023
347,240730.96658246
348,186167.914150534
349,183277.15197772
350,191204.410208576
351,183073.540733852
352,185541.303285274
353,230432.623434688
354,215458.390269908
355,215983.997768344
356,239632.466290878
357,185524.285696172
358,179123.913469088
359,233161.951707951
360,185571.136472185
361,231922.392093472
362,169657.909724202
363,219247.627469435
364,213904.313161309
365,207939.21542475
366,164780.412535472
367,177389.983384471
368,170897.585784866
369,230648.87423531
370,206526.030110363
371,178024.255307571
372,173736.261756954
373,204519.646409693
374,222783.149323905
375,175121.640884562
376,175498.145454217
377,198413.990067658
378,163999.273285205
379,192483.032123335
380,197338.955881049
381,201132.252997544
382,186043.597771276
383,157259.486472572
384,166669.832768001
385,165040.796317073
386,170914.215759749
387,164716.847891946
388,213248.552773002
389,154225.449726024
390,185843.350227753
391,164008.557012432
392,167763.309846557
393,162486.473925028
394,149425.085767306
395,168012.71111585
396,166019.692524408
397,160912.32824678
398,154924.842980617
399,157292.211960681
400,149846.607791778
401,149343.717442523
402,151022.831389902
403,145392.862158501
404,151429.349467719
405,148606.503789432
406,135614.063632673
407,204492.564225203
408,159177.557204061
409,151492.211771338
410,147527.150448239
411,144392.510871146
412,163691.663046409
413,150913.95939726
414,180387.533360157
415,191000.078683152
416,193826.659118885
417,198423.451810104
418,186417.64879175
419,173480.5126844
420,146152.566845388
421,133007.305008902
422,197151.521596661
423,154070.095321911
424,161093.946803408
425,189430.278578321
426,136350.521409562
427,130079.058247837
428,179624.175034794
429,142005.38557139
430,179374.232391085
431,121740.335166961
432,156602.792205387
433,142646.401395174
434,150868.078642231
435,204929.429983254
436,207635.333485107
437,126510.941079637
438,123683.70825996
439,179738.073950725
440,181108.713263266
441,157270.682755395
442,168763.890795896
443,122214.430854166
444,117157.354278302
445,112934.423360424
446,117693.602510209
447,122736.476310473
448,114467.910494231
449,127171.038381933
450,127238.50534884
451,128770.345459529
452,108093.451644352
453,129737.169770028
454,110110.352853424
455,108294.690658032
456,115475.602392476
457,113375.769942349
458,152045.10408765
459,156869.115365558
460,98086.4548621065
461,111883.483609298
462,105460.303740789
463,181092.523070825
464,171387.376133552
465,113446.127261996
466,162065.757822297
467,141158.674676795
468,101534.880374469
469,173431.296748926
470,158162.258775993
471,140924.255414861
472,133401.219976686
473,93513.4948082527
474,147486.645023546
475,111198.626696185
476,163999.801303662
477,95292.0800894413
478,89993.7927945
479,99362.7087645741
480,122294.570653989
481,168339.48853272
482,152196.501059718
483,125511.141906388
484,125172.779983886
485,136543.925343488
486,85593.93240731
487,132883.195740479
488,108771.417513685
489,94602.6311375402
490,135311.724849051
491,143338.256081073
492,150709.878618182
493,136545.479536428
494,136980.136863881
495,144041.316476545
496,150317.084019782
